id,gender,own_car,own_property,child_count,income,type_income,education_level,marital_status,housing_type,age,mobile_phone,work_phone,phone,email_id,type_occupation,family_members,label,experience_yrs
5008827,M,Y,Y,0,180000.0,Pensioner,Higher education,Married,House / apartment,51.0,1,0,0,0,not specified,2,1,6.814301979236801
5009744,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,37.0,1,1,1,0,not specified,2,1,1.6
5009752,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,37.0,1,1,1,0,not specified,2,1,1.6
5009754,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,37.0,1,1,1,0,not specified,2,1,1.6
5009894,F,N,N,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,61.0,1,0,0,0,not specified,2,1,3.211111221361495
5010864,M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,50.0,1,0,1,1,Core staff,3,1,1.9
5010868,M,Y,Y,1,450000.0,Pensioner,Secondary / secondary special,Married,House / apartment,50.0,1,0,1,1,Core staff,3,1,1.9
5010869,M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,50.0,1,0,1,1,Core staff,1,1,1.9
5018498,F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,52.0,1,1,1,0,Cooking staff,2,1,2.7
5018503,F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,52.0,1,1,1,0,Cooking staff,2,1,2.7
5021303,M,N,N,1,472500.0,Pensioner,Higher education,Married,With parents,24.0,1,0,0,1,not specified,3,1,2.5
5021310,M,N,Y,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,46.0,1,0,0,0,Laborers,2,1,0.7
5021314,M,N,Y,0,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,46.0,1,0,0,0,Laborers,2,1,0.7
5021430,F,N,Y,0,126000.0,Commercial associate,Higher education,Single / not married,House / apartment,52.0,1,0,0,0,Sales staff,1,1,6.8
5021431,F,N,Y,0,126000.0,Commercial associate,Higher education,Single / not married,House / apartment,52.0,1,0,0,0,Sales staff,1,1,6.8
5021998,M,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,52.0,1,0,0,1,not specified,2,1,4.5
5022053,M,N,N,0,202500.0,Working,Higher education,Single / not married,House / apartment,35.0,1,0,0,0,not specified,1,1,11.9
5022617,M,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,33.0,1,0,0,1,Laborers,2,1,4.6
5023781,M,N,Y,0,157500.0,Commercial associate,Higher education,Civil marriage,House / apartment,49.0,1,0,0,0,Accountants,2,1,3.0
5023831,F,N,Y,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,33.0,1,0,0,0,Sales staff,4,1,2.5
5024071,F,N,Y,0,180000.0,Working,Higher education,Married,House / apartment,44.0,1,0,0,0,Laborers,2,1,2.3
